X,Y,stop_id,stop_code,stop_name,stop_desc,platform_code,zone_id,stop_url,level_id,location_type,parent_station,wheelchair_boarding,platform_name,stop_address,municipality,on_street,at_street,vehicle_type
,,place-GRB-0162,,West Hingham,,,CR-zone-3,https://www.mbta.com/stops/place-GRB-0162,,"1",,"1",,"20 Fort Hill Rd, Hingham, MA 02043",Hingham,,,
,,place-GRB-0183,,Nantasket Junction,,,CR-zone-4,https://www.mbta.com/stops/place-GRB-0183,,"1",,"1",,"190 Summer St, Hingham, MA 02043",Hingham,,,
,,place-GRB-0199,,Cohasset,,,CR-zone-4,https://www.mbta.com/stops/place-GRB-0199,,"1",,"1",,"110 Chief Justice Cushing Hwy, Cohasset, MA 02025",Cohasset,,,
,,place-GRB-0233,,North Scituate,,,CR-zone-5,https://www.mbta.com/stops/place-GRB-0233,,"1",,"1",,"777 Country Way, Scituate, MA 02066",Scituate,,,
,,place-GRB-0276,,Greenbush,,,CR-zone-6,https://www.mbta.com/stops/place-GRB-0276,,"1",,"1",,"247 Old Drifway, Scituate, MA 02066",Scituate,,,
,,place-KB-0351,,Kingston,,,CR-zone-8,https://www.mbta.com/stops/place-KB-0351,,"1",,"1",,"134 Marion Dr, Kingston, MA 02364",Kingston,,,
,,place-MM-0150,,Holbrook/Randolph,,,CR-zone-3,https://www.mbta.com/stops/place-MM-0150,,"1",,"1",,"Union St and Center St, Randolph, MA 02368",Randolph,,,
,,place-MM-0186,,Montello,,,CR-zone-4,https://www.mbta.com/stops/place-MM-0186,,"1",,"1",,"150 Spark St, Brockton, MA 02302",Brockton,,,
,,place-MM-0200,,Brockton,,,CR-zone-4,https://www.mbta.com/stops/place-MM-0200,,"1",,"1",,"7 Commercial St, Brockton, MA 02302",Brockton,,,
,,place-MM-0219,,Campello,,,CR-zone-5,https://www.mbta.com/stops/place-MM-0219,,"1",,"1",,"30 Riverside Ave, Brockton, MA 02301",Brockton,,,
,,place-MM-0277,,Bridgewater,,,CR-zone-6,https://www.mbta.com/stops/place-MM-0277,,"1",,"1",,"85 Burrill Ave, Bridgewater, MA 02324",Bridgewater,,,
,,place-MM-0356,,Middleborough/Lakeville,,,CR-zone-8,https://www.mbta.com/stops/place-MM-0356,,"1",,"1",,"125 Commercial Dr, Lakeville, MA 02347",Lakeville,,,
,,place-NB-0064,,Roslindale Village,,,CR-zone-1,https://www.mbta.com/stops/place-NB-0064,,"1",,"1",,"1 Belgrade Ave, Roslindale, MA 02131",Boston,,,
,,place-NB-0072,,Bellevue,,,CR-zone-1,https://www.mbta.com/stops/place-NB-0072,,"1",,"1",,"35 Colbert St, West Roxbury, MA 02132",Boston,,,
,,place-NB-0076,,Highland,,,CR-zone-1,https://www.mbta.com/stops/place-NB-0076,,"1",,"1",,"Corey St and Hastings St, West Roxbury, MA 02132",Boston,,,
,,place-NB-0080,,West Roxbury,,,CR-zone-1,https://www.mbta.com/stops/place-NB-0080,,"1",,"1",,"450 Lagrange St, West Roxbury, MA 02132",Boston,,,
,,place-NB-0109,,Hersey,,,CR-zone-2,https://www.mbta.com/stops/place-NB-0109,,"1",,"1",,"Great Plain Ave and Broad Meadow Rd, Needham, MA 02492",Needham,,,
,,place-NB-0120,,Needham Junction,,,CR-zone-2,https://www.mbta.com/stops/place-NB-0120,,"1",,"1",,"51 Junction St, Needham, MA 02492",Needham,,,
,,place-NB-0127,,Needham Center,,,CR-zone-2,https://www.mbta.com/stops/place-NB-0127,,"1",,"1",,"Great Plain Ave and Eaton Sq, Needham, MA 02492",Needham,,,
,,place-NB-0137,,Needham Heights,,,CR-zone-2,https://www.mbta.com/stops/place-NB-0137,,"1",,"1",,"95 Avery Square, Needham, MA 02494",Needham,,,
,,place-NEC-1659,,Wickford Junction,,,CR-zone-10,https://www.mbta.com/stops/place-NEC-1659,,"1",,"1",,"1011 Ten Rod Rd, North Kingstown, RI",North Kingstown,,,
,,place-NEC-1768,,TF Green Airport,,,CR-zone-9,https://www.mbta.com/stops/place-NEC-1768,,"1",,"1",,"700 Jefferson Blvd, Warwick, RI 02886",Warwick,,,
,,place-NEC-1851,,Providence,,,CR-zone-8,https://www.mbta.com/stops/place-NEC-1851,,"1",,"1",,"100 Gaspee St, Providence, RI 02903",Providence,,,
